danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64E-06,0.138,0.287,120.119,205613,4,1
0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,216880,4,1
0.543,0.661,8,-5.855,0,0.0538,0.214,0,0.241,0.556,144.967,194978,4,1
0.856,0.641,11,-4.64,0,0.204,0.119,4.97E-06,0.427,0.745,111.004,206221,4,1
0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,223962,4,1
0.63,0.633,4,-7.088,1,0.0457,0.00776,0,0.0541,0.452,93.995,172762,4,1
0.881,0.636,7,-4.629,1,0.287,0.00606,0,0.111,0.715,163.949,152195,4,1
0.743,0.735,8,-5.337,1,0.0382,0.00389,0,0.304,0.631,104.979,189467,4,1
0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,4,1
0.707,0.622,0,-6.951,1,0.031,0.0397,0,0.149,0.223,142.942,243357,4,1
0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,4,1
0.386,0.594,1,-6.186,1,0.0565,0.0254,3.03E-06,0.0873,0.187,113.843,271520,4,1
0.655,0.666,5,-5.309,1,0.0612,0.134,2.12E-05,0.0683,0.272,102.977,181812,4,1
0.652,0.855,2,-4.832,1,0.0441,0.00179,0,0.0404,0.279,134.009,181673,4,1
0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,179867,4,1
0.822,0.743,10,-4.772,0,0.28,0.016,0,0.127,0.636,84.459,242001,4,1
0.825,0.373,5,-5.532,0,0.108,0.163,0,0.368,0.12,77.271,149078,4,1
0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947,220488,4,1
0.718,0.706,1,-5.709,1,0.06,0.0128,0,0.352,0.815,170.004,189176,4,1
0.473,0.824,7,-3.68,0,0.163,0.482,0,0.605,0.374,77.888,222929,4,1
