danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4,1
0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,4,1
0.614,0.66,0,-2.848,1,0.0441,0.19,0,0.211,0.452,145.01,245267,4,1
0.701,0.65,6,-6.313,1,0.104,0.291,0,0.112,0.647,90.003,160212,4,1
0.467,0.608,10,-7.847,1,0.0707,0.0909,8.83E-05,0.125,0.108,80.957,211400,4,1
0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621,4,1
0.504,0.498,0,-8.24,1,0.0499,0.131,0,0.0929,0.196,87.221,191307,4,1
0.909,0.517,1,-6.063,1,0.129,0.0365,1.73E-06,0.0949,0.471,136.012,113006,4,1
0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4,1
0.636,0.538,1,-7.725,1,0.312,0.738,0,0.149,0.514,83.508,226920,4,1
0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,4,1
0.714,0.474,8,-4.993,1,0.039,0.374,0,0.106,0.376,62.484,212293,3,1
0.652,0.855,2,-4.832,1,0.0441,0.00179,0,0.0404,0.279,134.009,181673,4,1
0.797,0.55,9,-4.166,1,0.24,0.513,0,0.0786,0.543,134.206,206267,4,1
0.762,0.621,0,-6.24,1,0.0866,0.61,0,0.464,0.593,120.056,216747,4,1
0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66E-06,0.0939,0.219,99.99,221507,4,1
0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,200221,4,1
0.31,0.095,1,-17.828,1,0.0366,0.904,3.43E-05,0.128,0.188,72.76,190973,4,1
0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,207520,4,1
