Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label,Genre
Electric Love,BØRNS,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4,1,"indie,eargasm,psychedelic+pop,banned,good+morning"
Free Fallin',Tom Petty,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000,4,1,"classic+rock,80s,rock,tom+petty,southern+rock,classic+rock,rock,singer-songwriter"
CHopstix (feat. Travis Scott),ScHoolboy Q,0.958,0.597,9,-7.092,0,0.111,0.0457,0,0.138,0.619,127.931,180453,4,1,"schoolboy+q,travis+scott,hip-hop,rap,underground+hip-hop"
Nowhere Fast (feat. Kehlani),Eminem,0.7,0.74,11,-4.617,1,0.184,0.254,0,0.0682,0.663,79.015,264173,4,1,"rap,hip-hop,2010s,2018,rap,hip-hop,eminem"
The Mack,Nevada,0.707,0.883,0,-4.281,1,0.0602,0.0707,0,0.23,0.541,106.031,167038,4,1,"house,rnb,deep+house,fetty+wap,2016,eurodance,trance,dance"
Strange,Agust D,0.627,0.662,7,-8.121,1,0.203,0.00236,0,0.157,0.207,90.008,196529,4,1,"rm,rap,hip-hop,hip+hop"
Business Is Business (Lil Baby & Gunna),Lil Baby,0.821,0.636,7,-6.038,0,0.0899,0.288,0,0.104,0.4,142.008,162268,4,1,"rap,hip-hop,hip+hop,trap,hip-hop,rap,hip+hop"
Que Va,Alex Sensation,0.771,0.835,0,-3.388,1,0.0507,0.13,0,0.0601,0.817,91.012,238160,4,1,"colombia,cubaton,latin+urban,colombia,cubaton,latin+urban"
We Paid (feat. 42 Dugg),Lil Baby,0.926,0.542,1,-5.064,1,0.293,0.135,0,0.0877,0.564,135.14,181929,4,1,"lil+baby,42+dugg,hip-hop,rap,hip+hop"
Somewhere I Belong,Linkin Park,0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39E-06,0.261,0.442,162.065,213933,4,1,"nu+metal,rock,alternative+rock,linkin+park,alternative,rock,nu+metal,alternative+rock"
Everybody Hates Me,The Chainsmokers,0.471,0.755,11,-6.612,0,0.0455,0.00836,0,0.368,0.512,154.801,224027,4,1,"pop,dance,2018,electronic,electronic,pop,house"
In the Dark,Camila Cabello,0.425,0.548,7,-6.762,1,0.114,0.21,0,0.115,0.282,175.756,219827,4,1,"pop,rnb,pop,female+vocalists,dance"
Sauce!,XXXTENTACION,0.68,0.313,3,-13.672,0,0.0347,0.582,0,0.19,0.405,135.034,144724,4,1,"trap,fun,wavy,oh+my,xxxtentacion,hip-hop,cloud+rap,rap"
me & ur ghost,blackbear,0.755,0.631,7,-6.128,1,0.0261,0.0638,0,0.0929,0.881,100.026,200400,4,1,"2020,indie,indie+pop,pop+rock,electronic,hip-hop,pop"
