Track Name,Artist,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms,time_signature,Label
Caramelo,Ozuna,2399094,0.728,0.8059999999999999,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,https://api.spotify.com/v1/audio-analysis/3gD4J3RUHy4OUuZ3qAiaiG,217547,4,1
La Jeepeta - Remix,Nio Garcia,2662622,0.8140000000000001,0.7140000000000001,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,https://api.spotify.com/v1/audio-analysis/6bvfJf4KjonPMuPfGfy3S2,345241,4,1
Head & Heart (feat. MNEK),Joel Corry,3192515,0.7340000000000001,0.8740000000000001,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028,4,1
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,3171918,0.5710000000000001,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,https://api.spotify.com/v1/audio-analysis/0EhpEsp4L0oRGM0vmeaN5e,232253,4,1
Mood Swings (feat. Lil Tjay),Pop Smoke,2779526,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,https://api.spotify.com/v1/audio-analysis/5rZlwNFl01HqLWBQGryKSm,213333,4,1
Mood (feat. iann dior),24kGoldn,6367748,0.7,0.722,7,-3.5580000000000003,0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.989,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4,1
Hawái,Maluma,6400816,0.7829999999999999,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.5579999999999999,180.067,https://api.spotify.com/v1/audio-analysis/1yoMvmasuxZfqHEipJhRbp,199112,4,1
Laugh Now Cry Later (feat. Lil Durk),Drake,4940552,0.7609999999999999,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI,261493,4,1
Faith,The Weeknd,3497191,0.375,0.605,0,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946,https://api.spotify.com/v1/audio-analysis/3orEOtd8CPL8GFlpRpKuoE,283227,4,1
Escape From LA,The Weeknd,3692505,0.404,0.524,5,-8.996,0,0.0593,0.0456,0.00316,0.199,0.168,145.74,https://api.spotify.com/v1/audio-analysis/1sOW4PuG5X3Ie3EXUhAopJ,355960,4,1
That Way,Lil Uzi Vert,2689390,0.7190000000000001,0.611,7,-5.01,0,0.0403,0.0582,0.0,0.155,0.489,129.96200000000002,https://api.spotify.com/v1/audio-analysis/5raTDhlbxFDnpn89bxArdH,212354,4,1
Titanic,Juice WRLD,4243741,0.568,0.545,1,-6.667999999999998,0,0.0447,0.168,0.0,0.112,0.234,174.144,https://api.spotify.com/v1/audio-analysis/1QoG0Yqz1onMsdbOibZVke,176650,4,1
Lovesick Girls,BLACKPINK,4880132,0.6579999999999999,0.733,6,-4.756,1,0.0586,0.006679999999999999,0.0,0.118,0.464,127.977,https://api.spotify.com/v1/audio-analysis/4Ws314Ylb27BVsvlZOy30C,192760,4,1
Wonder,Shawn Mendes,3415334,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,https://api.spotify.com/v1/audio-analysis/5KCbr5ndeby4y4ggthdiAb,172693,4,1
Bet You Wanna (feat. Cardi B),BLACKPINK,4712901,0.665,0.674,7,-5.188,1,0.161,0.00386,0.0,0.0734,0.7020000000000001,111.516,https://api.spotify.com/v1/audio-analysis/7iAgNZdotu40NwtoIWJHFe,159173,4,1
Mr. Right Now (feat. Drake),21 Savage,3492862,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.7040000000000001,172.08,https://api.spotify.com/v1/audio-analysis/4Q34FP1AT7GEl9oLgNtiWj,193839,4,1
Runnin,21 Savage,3744137,0.8190000000000001,0.626,10,-4.574,0,0.202,0.00748,0.101,0.16699999999999998,0.415,143.01,https://api.spotify.com/v1/audio-analysis/5SWnsxjhdcEDc7LJjq9UHk,195906,4,1
Pretty Savage,BLACKPINK,4007555,0.695,0.583,9,-6.575,0,0.0423,0.00657,8.75e-05,0.104,0.382,152.001,https://api.spotify.com/v1/audio-analysis/1XnpzbOGptRwfJhZgLbmSr,199120,4,1
Love To Hate Me,BLACKPINK,3195428,0.68,0.6559999999999999,8,-4.539,1,0.138,0.0368,0.0,0.101,0.5820000000000001,162.17700000000005,https://api.spotify.com/v1/audio-analysis/7iKDsPfLT0d5mu2htfMKBZ,169800,4,1
Crazy Over You,BLACKPINK,3398836,0.805,0.66,4,-5.393,1,0.0762,0.0383,8.66e-05,0.189,0.545,114.951,https://api.spotify.com/v1/audio-analysis/7qq0EOPW4RRlqdvMBmdd73,161947,4,1
You Never Know,BLACKPINK,2847863,0.39,0.475,5,-5.489,1,0.0989,0.248,0.0,0.158,0.276,72.08800000000002,https://api.spotify.com/v1/audio-analysis/39kzWAiVPpycdMpr745oPj,229213,4,1
Glock In My Lap,21 Savage,2879811,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,https://api.spotify.com/v1/audio-analysis/6pcywuOeGGWeOQzdUyti6k,193591,4,1
Rich Nigga Shit (feat. Young Thug),21 Savage,2554229,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,https://api.spotify.com/v1/audio-analysis/3ruoIF2UnoXdzK8mR61ebq,190331,4,1
Lonely (with benny blanco),Justin Bieber,3181301,0.631,0.239,11,-7.0710000000000015,0,0.0398,0.8640000000000001,0.0,0.116,0.0927,79.859,https://api.spotify.com/v1/audio-analysis/4y4spB9m0Q6026KfkAvy9Q,149297,4,1
In Too Deep,Eminem,2913302,0.72,0.767,10,-5.839,0,0.214,0.0387,0.0,0.202,0.595,88.96600000000002,https://api.spotify.com/v1/audio-analysis/7Dj2wqPYXfSRFwa6qyOztr,194707,4,1
