danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.81,0.51,5,-7.71,0,0.12,0.28,0,0.33,0.55,145.07,237946,4,1
0.59,0.73,7,-4.95,0,0.09,0.32,0,0.66,0.71,93.09,202240,4,1
0.69,0.63,1,-7.6,1,0.05,0.12,0,0.06,0.49,169.98,205666,4,1
0.41,0.82,1,-6.81,1,0.53,0.25,0,0.54,0.53,170.72,223124,4,1
0.54,0.77,0,-3.39,0,0.34,0.42,0,0.16,0.73,106.87,204805,3,1
0.23,0.46,6,-10.77,0,0.03,0.01,0.88,0.33,0.06,65.83,60400,3,1
0.88,0.64,7,-4.63,1,0.29,0.01,0,0.11,0.72,163.95,152195,4,1
0.66,0.75,2,-4.81,0,0.21,0.18,0,0.25,0.51,171.98,265947,3,1
0.72,0.88,11,-4.29,0,0.04,0,0.02,0.06,0.32,123.04,177600,4,1
0.85,0.75,1,-5.79,1,0.06,0.02,0,0.39,0.39,89.95,216600,4,1
0.79,0.81,5,-4.56,1,0.04,0.03,0,0.52,0.42,116.01,172133,4,1
0.73,0.93,0,-3.63,1,0.08,0.02,0,0.19,0.48,119.01,191467,4,1
0.65,0.92,11,-4.26,1,0.07,0.36,0,0.14,0.32,117.95,173427,4,1
0.68,0.82,4,-4.2,0,0.15,0.06,0,0.6,0.24,140.03,234653,4,1
0.74,0.55,8,-8.98,1,0.42,0.39,0,0.07,0.51,84.93,209440,4,1
0.59,0.85,9,-4.4,0,0.08,0.14,0,0.37,0.39,105.92,246816,4,1
0.75,0.62,11,-5.83,1,0.08,0.18,0,0.15,0.57,159.93,181661,4,1
0.79,0.77,5,-3.42,1,0.1,0.03,0,0.28,0.84,171.94,247308,4,1
0.86,0.76,11,-5.16,1,0.07,0.02,0,0.34,0.45,97.01,172127,4,1
0.51,0.57,6,-7.23,0,0.2,0.35,0,0.34,0.22,83.9,239836,4,1
0.48,0.36,0,-7.89,1,0.07,0.83,0,0.1,0.31,171.65,193795,4,1
0.65,0.67,0,-5.98,0,0.31,0.47,0,0.08,0.34,181.86,249520,4,1
0.6,0.53,10,-8.66,0,0.04,0.13,0,0.14,0.53,123.94,168387,4,1
0.8,0.68,6,-5.04,1,0.04,0.09,0,0.09,0.84,101.96,219947,4,1
0.78,0.56,6,-7.11,0,0.08,0.13,0,0.4,0.68,129.99,185093,1,1
0.88,0.75,7,-4.26,0,0.09,0.18,0,0.11,0.88,117.95,157606,4,1
0.76,0.52,2,-4.37,1,0.06,0.53,0,0.07,0.93,89.96,157560,4,1
0.88,0.7,11,-3.84,0,0.08,0.14,0,0.09,0.78,97,200667,4,1
0.83,0.5,11,-8.44,0,0.11,0.27,0,0.3,0.51,97.96,220487,4,1
0.77,0.65,8,-6.98,0,0.3,0.06,0,0.21,0.57,155.05,224955,4,1
0.72,0.72,10,-7.04,0,0.07,0.03,0,0.24,0.67,104.99,221714,4,1
0.66,0.57,5,-5.94,0,0.03,0.09,0.01,0.12,0.14,108.96,361947,4,1
0.65,0.6,11,-4.04,1,0.11,0.15,0,0.08,0.44,172.27,150853,4,1
0.59,0.59,2,-6.35,1,0.03,0.14,0,0.11,0.32,110.94,205473,4,1
0.72,0.49,8,-6.02,1,0.03,0.02,0,0.09,0.38,105.05,170746,4,1
0.92,0.6,11,-6.67,0,0.25,0.02,0,0.27,0.83,145.06,139741,4,1
0.88,0.67,9,-2.96,1,0.11,0.11,0,0.07,0.68,87.97,226533,4,1
0.71,0.6,7,-5.37,0,0.04,0.05,0,0.15,0.5,130.01,212354,4,1
0.68,0.82,8,-4.29,1,0.06,0,0,0.28,0.8,117.97,193531,4,1
0.38,0.22,4,-13.27,0,0.04,0.92,0.01,0.08,0.05,73.54,242265,4,1
0.78,0.72,11,-5.35,0,0.19,0.02,0,0.11,0.49,155.09,234627,4,1
0.89,0.67,1,-4.39,1,0.19,0.04,0,0.1,0.53,91.98,192024,4,1
0.74,0.87,1,-4.52,1,0.05,0.03,0,0.08,0.59,93.04,206420,4,1
0.76,0.55,9,-6.05,0,0.03,0.04,0,0.08,0.75,116.97,190800,4,1
0.46,0.58,3,-4.86,1,0.06,0.6,0,0.09,0.18,111.88,215107,4,1
0.88,0.61,4,-6.1,1,0.12,0.05,0,0.18,0.74,147.98,160638,4,1
0.71,0.96,10,-4.59,0,0.22,0.13,0,0.2,0.58,125.99,134240,4,1
0.77,0.63,10,-6.1,0,0.21,0.14,0,0.43,0.67,160.05,210261,4,1
0.76,0.8,1,-3.66,0,0.04,0.2,0,0.25,0.81,93.99,136893,4,1
0.88,0.7,1,-4.22,1,0.07,0.14,0,0.06,0.79,94,199711,4,1
0.66,0.87,0,-3.33,1,0.05,0.03,0,0.14,0.69,146.94,193697,4,1
0.71,0.81,2,-5.51,1,0.09,0.12,0,0.15,0.18,92.04,159282,4,1
0.73,0.57,0,-6.72,1,0.32,0.01,0,0.38,0.32,75.49,238816,4,1
0.47,0.63,5,-5.88,0,0.34,0.07,0,0.13,0.43,180.05,189323,4,1
0.86,0.68,1,-5.74,1,0.33,0.09,0,0.14,0.51,133.08,195299,4,1
0.79,0.81,7,-3.7,1,0.09,0.08,0,0.08,0.61,105.03,301714,4,1
0.74,0.77,10,-4.24,0,0.05,0.31,0,0.11,0.66,93.96,196500,4,1
0.83,0.73,8,-3.71,1,0.22,0.01,0,0.12,0.45,155.01,312820,4,1
0.58,0.82,9,-5.15,0,0.1,0.12,0,0.34,0.44,105.94,246381,4,1
0.77,0.79,11,-3.91,1,0.37,0.19,0,0.13,0.84,126.77,159715,4,1
0.55,0.82,0,-4.21,1,0.05,0.12,0,0.34,0.56,95.39,174000,4,1
0.49,0.34,4,-8.99,1,0.04,0.56,0,0.21,0.1,102.82,206459,4,1
0.9,0.54,8,-6.24,1,0.29,0.03,0,0.09,0.16,130.12,195692,4,1
0.78,0.76,7,-5.53,1,0.2,0.09,0,0.64,0.67,110.03,194490,4,1
0.74,0.37,9,-9.68,0,0.07,0.33,0,0.13,0.24,140,222997,4,1
0.65,0.63,6,-5.72,0,0.09,0.52,0,0.17,0.35,128,154424,4,1
0.6,0.43,7,-8.76,0,0.03,0.05,0,0.21,0.06,76.47,175721,4,1
0.79,0.69,9,-7.73,0,0.07,0.15,0,0.28,0.51,103.01,181436,4,1
0.37,0.11,4,-14.08,1,0.1,0.98,0,0.09,0.2,82.64,196077,4,1
0.84,0.73,7,-3.37,1,0.05,0.08,0,0.15,0.43,130.05,243837,4,1
0.8,0.79,7,-6.18,0,0.06,0.08,0,0.15,0.45,94.03,167975,4,1
0.64,0.65,5,-8.11,0,0.19,0.12,0,0.08,0.55,92.98,197867,4,1
0.83,0.48,8,-5.75,0,0.08,0.54,0,0.2,0.89,139.98,219933,4,1
